wallet_address,player_name,actual_royal_favor,gold_value,main_pot_share,chain,day_one_cashout_npc_kills,day_two_cashout_npc_kills,day_three_cashout_npc_kills,day_four_cashout_npc_kills,day_five_cashout_npc_kills
0xE2734097a9E891dDD96De40663d4f123eC281686,LucianL,59489,66492,0.00059411,ronin,,,62,,
0x9840C3dA592d0bc8A722aE1510AEDbEef9253F4E,Deimos,61377,580527,0.00059362,ronin,,,,,
0x8D000b467B581a4036231B7D267A0610FCbc9603,Tsaava,87861,307325,0.00059360,blast,,,,,11
0x63b9E4e757fC107250790A10Db00D6e0B18b2F39,dabstep_BALAGAN,82380,445911,0.00059307,blast,,,,,
0xec3c19B21aAFD2fc0306e5Ff8aD547c0174e2012,swiftrunner.eth,102483,106126,0.00059299,blast,,21,,,11
0x2ad827F5040f4286431ed6e613CeC7A2423e4Ed0,FOMO_BALAGAN,128522,75510,0.00059272,blast,,,,,8
0xC6824f15a967DC46AAAd76D8D47d1795b930DD8B,superhill,134105,43155,0.00059183,blast,,14,,,
0xC82f4f59719bF7857A3a90b07d42dE343B2bC194,johnyvendetta.eth,131475,73053,0.00059109,ronin,,,,,6
0x646876d9f8a14c9e31E238d9d6bb5C09de25dC0C,MIKH,136826,520,0.00059082,blast,,,,,10
0x3D9dd7e63eB56609321c7e976085Bbb3b4822700,DoomglaneF,140622,19934,0.00058774,blast,,,,1,
0x2d0faBB6dCa5A6E8fc7FfFD827aeA48e4E128E9f,Yerrrr,121288,84803,0.00058768,blast,,,,,11
0x38Cf985C258D15d8Eacecf7687Cd9f523BC080e6,HCOInnos,136162,88282,0.00058378,blast,,,,,
0xE77455D5C5ea684425F4EC37410a2742040Bc171,cfopMamkinElon,100847,217550,0.00058346,blast,,,,,10
0x7fd1bd7b37F2E8f0448f435a32d8425288aC0B22,KKKK,128607,36660,0.00058093,ronin,,,,,10
0x12C7dbcFf8f62dAe0F53d19351dCbFd6FdbaEA23,DewaKenthu,111306,135977,0.00057944,ronin,,,,1,6
0x2300878c6E8fC1706CAbDF86f3d70F909bf572F1,miwko,32286,121515,0.00057702,blast,,121,,,
0xDF8195e6C38249ADAA9576Fe6486f4cE74938981,90xGGG_Hamza,23842,51174,0.00057597,ronin,,145,,,
0x7612F147FD2a1df28ADd5feba0d0AF6D0F93cEa3,BobMendes007,107417,200307,0.00057525,ronin,,,,,6
0xD1Ee78986Af2B97D8701cfBcE4279F8488d199d8,hcoFirenova,147249,2731,0.00057464,blast,,,,,
0x31D8a126da7cc2c6b78e83D2d2C46E13b5065C69,SiRamaYT,124755,144827,0.00057395,ronin,,,,,
0x537B213d50EB1D3a39Cff923299E3F2bc6C2185a,fidelio23,131118,17942,0.00057345,blast,,,,,9
0x55010Eb86A1d7493609aC2279fFf7fe00F71305d,weldon,128143,119644,0.00057175,blast,,,,,
0x661045d9286A4db874f7e3Bdd5D2534F19bF4604,Babe,112094,132826,0.00057034,blast,,17,,,
0xB387eF5694839624940a947dC6cc74cF5B4DBC52,Bronze,48862,619435,0.00056870,ronin,,,,,
0xd6c143BDC3D913423Ac7aE89B4F54ef238c909ec,Enjqwq,96599,314961,0.00056837,ronin,,,,,
0x1A44a882F5bf78585CE5Ac604a54c8191458646C,chepa,40023,25288,0.00056835,ronin,,,,14,
0x7afCABDca74648535421012cC2499e83F7658F2E,aboba,102554,117440,0.00056800,blast,,,12,,6
0xae7155BdE48e0D2b7CF3b6e4276401De3E800b65,Baton,66500,77249,0.00056565,blast,,,50,,
0xb32D72C1Afd5F8dBc70A243F648838bA296cd886,barneyblast,115137,116311,0.00056557,blast,,,,,8
0x2DFB47471B48702F98124389DC6C98dc9c4E1757,barebyxa_BALAGAN,133750,73613,0.00056543,blast,,,,,
0x8e15b7F298a86E263Bf19f6cb1E13625431A8548,CardinaLL,81388,406725,0.00056527,blast,,,,,
0x013855fcd829D049695cc4aD21fe23F72E831F2c,NoCauseTGG,141195,23795,0.00056396,ronin,,,,,
0x95e602Df9ea5539C75767A3e8AD26487A77853E2,bluora,20835,12894,0.00056269,blast,,152,,,
0x0879D880c5f15d342e8BDf7660fC7FCB9D165d7E,Setle,53359,236756,0.00056114,ronin,,67,,,
0xEFc7651b0dC6E0aFf6Dda3683716414faB4AFa54,harasir,120749,147094,0.00055975,blast,,,,,
0x51250B6789Dabc94a644E5E05238cbA2cC2DD5c4,GABMACHINE-MANA,70074,466539,0.00055780,ronin,,,,,
0x35062591E31490dF95edf826892afD4BBf97e9bd,wilMANA,105024,35424,0.00055762,ronin,,18,7,,6
0xe09da0EBb5B0a37601eBB1A58A322b2ed4DccBe7,Karen_BALAGAN,111679,58321,0.00055734,blast,,,,,15
0xf7654f8555c479830FD437f40a7dfCEB6C4D1D44,Lilpop,15207,15099,0.00055659,blast,,,94,,
0x8f28FB21D9d1B3B8191CD3b08D669c55bab38411,VyperX,46019,617162,0.00055625,blast,,,,,
0xCeE648601e435Bb302d143907748f72875B4BAEf,Lilac,115977,94874,0.00055574,ronin,,,,,8
0xDD548fbfd89504a4F5dc8dde5EfBC9f982588667,hatchhMANA,104310,185413,0.00055406,ronin,,,,,6
0xd7d5B6feee1F7C78Bc53888F2196deBD52D9e93a,Lontra,68323,410256,0.00055399,ronin,,12,,,
0xbEFcdb58d4cAfD67181b6f9616670971eca5e10f,krunio,80186,393574,0.00055255,ronin,,,,,
0x92F6C5551982F162C1fb1A246d1ABb1c823d5d5d,eaeaea,115405,167526,0.00055144,ronin,,,,,
0x767De283bCC3dCf23C171e8F2CE32B0f0079b2cb,majeew,112578,99115,0.00055091,ronin,,,,,9
0x3E4E0B25E486E3c65A9373B31a0c81574F4B756B,Nimbz,81219,381419,0.00054914,blast,,,,,
0xA41824510374f7cbf99f10899dC4253DE08A2e66,doppelyouz,97075,17928,0.00054855,blast,1,,,,6
0x130C6db73E22192fa4e5A1Da2475F50278f4f325,Dennis,121410,124054,0.00054824,ronin,,,,,
0xA3F5D2B9Cc1184414ea70170049f581F3F43fCAD,MANANAREBA,105951,221988,0.00054794,ronin,,,,,
0xDFBaf23558188E4adc44075F9334f145265884A6,90xGGG_Krayer,67795,464699,0.00054780,ronin,,,,,
0x1707e8Ca7C619e90bD4eFC65049c1a983269bc9E,selenkaonchain,42196,569852,0.00054731,ronin,,,,,6
0xc9Cd7441Ae9FAC6026F84Be6433368BCb1eB6f14,Avantus,113252,78962,0.00054703,ronin,,,,,10
0x18cb770C8b829c3CdEC1a913D7d76F85D226E912,Hajimari,126122,91638,0.00054677,ronin,,,,,
0xc928061676457D03b115f6DAe09E315eD55b2f33,MANA_Eltin,138474,12823,0.00054666,ronin,,,,,
0x428795A32cbD5C431fEd3DdCC9Ca2aFCB31B8B84,nefor228,47765,589446,0.00054610,blast,,,,,
0x9d0Fa72bE2479882B58282b17DcE0E035F96eFf1,123waltz,131367,54339,0.00054438,blast,,,,,
0xcd663A2136d9a982c4001f14516d4aBbF9540D47,KyePierce,126145,83315,0.00054177,blast,,,,,
0xaA9a757CBE69AdEf8A562aA56046f6Eb71F54cF6,ricklMANA,125426,9651,0.00054042,ronin,,,,,8
0x4dDB1244285ec61769692f0B48F0C3a16c6a8Cee,TGG-Guima,44721,598072,0.00053953,ronin,,,,,
0x00eD7FbaD3Bb36F9995CF413c897d2b0BDCb47E4,SmeltzWard,98523,252553,0.00053772,blast,,,,,
0xD3fcc3d1089C4CA25eC4B1cFd0157EF06e41278a,f1nk1r.eth,125391,13724,0.00053697,blast,,,,,7
0x9A2624058DbbBF88d05e4BbF814415C11868688b,TGGAUMA,23165,726963,0.00053442,ronin,,,,,
0x8146e5CE6aF6f2FF74c83fF84cCD5B037A8908a0,CleitonMANA,5536,838617,0.00053406,ronin,,,,,
0x4B64ACe0eE73e410691AFa343aC0F1034F28D047,Heisenpinky,45356,359491,0.00053333,ronin,,44,,,
0x4Bf2389db5996620c65d778c6f04c74a6cEdB3Ec,ZHUCHKA,40441,145477,0.00053297,blast,,27,39,,
0xFe1E8CE68360F54252A214bF8AF6991b86ef19ea,102Gamma,111225,106487,0.00053273,blast,,,,,6
0xf31e8a1e8ebd3B2B9c22d4aF663520Ebe46cfF69,Doci,65300,455575,0.00053252,ronin,,,,,
0x5b2b830B7E0AeE0b3fe161FD354018A57D60cAb9,Sav_k11,94643,267827,0.00053195,blast,,,,,
0xA31B703d2f9C6F566f3e9dd29C01f2DA6F336deD,Antland,124834,74168,0.00053108,ronin,,,,,
0x929e594e5923355c759083622365af7c56bF3A34,zhuchka.eth,22110,90624,0.00053093,blast,,,75,,
0x25A62Dd35f76b157590129A587b4fb27B263B014,UFF,102531,91393,0.00053034,ronin,,,,,13
0x66895A88B96bB9AB967EF170FB4Db2A2Aa952a62,Mks,91757,279877,0.00052809,blast,,,,,
0x38389f05424928Ae81D683Af13BE45dc419457b2,anata,126935,54634,0.00052732,ronin,,,,,
0x85fc3C5F442Ce2980347702ada120B0FC8be0e1E,Lmax12,81777,170834,0.00052717,blast,,,,,18
0x2867af1501E40181F471217b0C95A5E2948Fd756,Carlosiankind,97310,157643,0.00052693,ronin,,,10,,
0xA55D37C1E0Bf93124237A15baB512Ac9f334bCa9,Pokaify7,124930,65612,0.00052622,blast,,,,,
0x0777E59B6E682b583338b35A6d13e8C71868adf3,0xmor1,71690,308919,0.00052584,blast,,,,,10
0x640cd72846bb9E0bd90E80CD904fC97ae8B0f5a3,Matro,94112,163134,0.00052399,blast,,,,,10
0xD72a7ad0436b5A54c08083E4AEF24F61dB193066,Destroyz,74041,132491,0.00052245,ronin,1,,,1,
0x32782D97a180A0fD5b6F775517Ac4e3727Bb624A,G3nka,63563,93033,0.00052236,ronin,,70,,,
0xc6828F7219bc9048bF82E3711C9f2A3Bb5271B4c,WBT-joker,123043,70072,0.00052161,blast,,,,,
0x4163dfa9eE4A25e950ce1a0A2221FafA29fe2df6,deadshizuko.eth,103943,38780,0.00052110,blast,,,,,16
0x13c1232C27F605CDCdfc5636EE3De2cdCA64517a,fooriua,120699,80221,0.00051869,blast,,,,,
